step,type,amount,oldbalanceOrg,newbalanceOrig,newbalanceDest,sender,recipient
3,CASH_IN,4052.16,3173.15,7225.31,3173.15,acc_4848_olivia,acc_0012_bank
1,TRANSFER,47692.27,82772.70,35080.43,7993.06,acc_8784_ivy,acc_7291_kabir
5,CASH_OUT,87048.35,112893.71,25845.36,125969.37,acc_1090_owen,atm_terminal_23
8,TRANSFER,1205.36,1479.26,273.90,11909.05,acc_9486_priya,acc_9702_mia
25,DEBIT,447.34,5017.30,4569.96,0.00,acc_9270_raj,acc_utility_electric
24,CASH_IN,4215.33,7542.59,11757.92,7542.59,acc_8373_emma,acc_0045_bank
25,CASH_IN,2255.38,2468.53,4723.91,2468.53,acc_8939_sam,acc_0078_bank
10,PAYMENT,44.89,4470.48,4425.59,0.00,acc_6502_sara,merch_amazon
8,PAYMENT,210.36,1109.07,898.71,0.00,acc_3503_ethan,merch_starbucks
18,PAYMENT,197.79,4172.81,3975.02,0.00,acc_2020_noah,merch_grocery_mart
23,TRANSFER,198596.05,208291.46,9695.41,14950.31,acc_7232_kabir,acc_7865_mia
18,CASH_IN,2235.60,2272.27,4507.87,2272.27,acc_4613_kabir,acc_0012_bank
13,PAYMENT,236.36,866.97,630.61,0.00,acc_7624_ruby,merch_amazon
20,CASH_OUT,2792.68,85094.41,82301.73,24223.32,acc_7455_leo,atm_terminal_92
28,PAYMENT,109.77,1926.56,1816.79,0.00,acc_1823_emma,merch_starbucks
11,CASH_IN,4176.43,7544.90,11721.33,7544.90,acc_7211_emma,acc_0045_bank
27,TRANSFER,499958.52,499958.52,0.00,39058.41,acc_1317_ruby,acc_4412_ghost
21,TRANSFER,4387.53,4387.53,0.00,293.73,acc_1508_zoe,acc_4425_ghost
19,DEBIT,307.74,1686.21,1378.47,0.00,acc_8619_ethan,acc_utility_water
25,CASH_IN,4651.55,5828.98,10480.53,5828.98,acc_6096_maya,acc_0078_bank
22,DEBIT,174.70,5660.53,5485.83,0.00,acc_7149_nina,acc_utility_electric
4,CASH_OUT,83030.05,102954.60,19924.55,122161.82,acc_5941_grace,atm_terminal_82
12,CASH_OUT,26395.41,76388.16,49992.75,67511.96,acc_7071_devon,atm_terminal_63
4,PAYMENT,232.57,4463.30,4230.73,0.00,acc_6934_sam,merch_amazon
14,TRANSFER,341615.28,413689.65,72074.37,17034.26,acc_9548_sam,acc_5397_sara
27,DEBIT,605.37,2814.65,2209.28,0.00,acc_5569_owen,acc_utility_internet
11,TRANSFER,184589.74,209671.23,25081.49,203.02,acc_6325_liam,acc_5526_mia
7,TRANSFER,77672.24,158145.77,80473.53,5884.71,acc_7658_kabir,acc_1282_devon
13,CASH_OUT,41745.49,87651.78,45906.29,58933.36,acc_6016_olivia,atm_terminal_77
24,CASH_OUT,21383.49,68608.04,47224.55,27416.28,acc_6764_ethan,atm_terminal_39
7,PAYMENT,99.81,3466.31,3366.50,0.00,acc_9779_max,merch_apple_store
9,CASH_OUT,4789.13,43166.81,38377.68,19601.45,acc_9595_ivy,atm_terminal_34
12,TRANSFER,7643.01,10915.63,3272.62,17369.22,acc_1231_ethan,acc_3068_sam
16,TRANSFER,265421.39,265421.39,0.00,6701.32,acc_1200_leo,acc_4411_ghost
28,PAYMENT,290.63,2484.15,2193.52,0.00,acc_2070_nina,merch_walmart_store
5,TRANSFER,81706.98,103303.20,21596.22,10451.45,acc_5978_devon,acc_4697_max
15,DEBIT,354.49,3613.45,3258.96,0.00,acc_5871_grace,acc_utility_water
20,DEBIT,184.60,1405.17,1220.57,0.00,acc_2625_max,acc_utility_water
6,PAYMENT,31.24,63.24,32.00,0.00,acc_2229_liam,merch_grocery_mart
16,PAYMENT,352.98,3549.43,3196.45,0.00,acc_4792_jake,merch_apple_store
3,CASH_OUT,70328.68,118895.91,48567.23,91585.63,acc_5334_zara,atm_terminal_35
18,PAYMENT,75.41,1364.88,1289.47,0.00,acc_3441_lily,merch_walmart_store
6,CASH_IN,3474.52,1331.10,4805.62,1331.10,acc_5728_priya,acc_0078_bank
13,DEBIT,82.74,3064.01,2981.27,0.00,acc_9199_mia,acc_utility_water
29,PAYMENT,50.21,1289.32,1239.11,0.00,acc_6280_ivy,merch_grocery_mart
19,DEBIT,332.60,433.34,100.74,0.00,acc_5415_leo,acc_utility_internet
17,CASH_OUT,65466.43,149544.88,84078.45,113919.19,acc_5557_liam,atm_terminal_72
16,PAYMENT,429.58,3367.16,2937.58,0.00,acc_6460_sara,merch_starbucks
14,CASH_OUT,115484.41,141833.84,26349.43,117319.27,acc_5722_olivia,atm_terminal_80
3,PAYMENT,205.07,4852.41,4647.34,0.00,acc_6296_maya,merch_bestbuy
27,DEBIT,166.31,2596.84,2430.53,0.00,acc_9889_priya,acc_utility_gas
20,CASH_IN,1408.58,610.96,2019.54,610.96,acc_8242_max,acc_0012_bank
30,PAYMENT,123.38,192.90,69.52,0.00,acc_8941_maya,merch_netflix
23,TRANSFER,1081.53,8455.82,7374.29,18653.06,acc_1224_mia,acc_3522_kabir
10,PAYMENT,490.22,4181.88,3691.66,0.00,acc_5479_raj,merch_netflix
15,CASH_OUT,70565.25,138358.35,67793.10,113766.60,acc_7284_noah,atm_terminal_27
9,CASH_IN,2587.91,9349.06,11936.97,9349.06,acc_7798_sara,acc_0012_bank
10,CASH_OUT,12693.85,23140.72,10446.87,29315.85,acc_9022_grace,atm_terminal_54
25,CASH_OUT,9639.23,48944.83,39305.60,38229.11,acc_8460_lily,atm_terminal_40
8,CASH_IN,2417.58,3249.95,5667.53,3249.95,acc_7730_claire,acc_0045_bank
13,DEBIT,118.47,5795.98,5677.51,0.00,acc_3492_kabir,acc_utility_gas
28,TRANSFER,7077.38,10756.05,3678.67,9389.81,acc_8213_maya,acc_3529_devon
9,PAYMENT,150.41,447.56,297.15,0.00,acc_7512_sam,merch_bestbuy
13,DEBIT,501.62,3337.89,2836.27,0.00,acc_8994_grace,acc_utility_electric
21,CASH_OUT,49004.21,112268.19,63263.98,87022.69,acc_5708_zoe,atm_terminal_22
23,CASH_IN,4526.78,6970.61,11497.39,6970.61,acc_8269_liam,acc_0012_bank
11,CASH_IN,813.29,3810.93,4624.22,3810.93,acc_5806_tom,acc_0078_bank
14,CASH_OUT,16703.54,27085.33,10381.79,47689.06,acc_3950_liam,atm_terminal_58
8,PAYMENT,130.72,2332.69,2201.97,0.00,acc_3344_zoe,merch_uber_eats
22,TRANSFER,2176.44,6108.82,3932.38,19240.58,acc_8622_owen,acc_5901_sam
23,PAYMENT,427.40,4996.90,4569.50,0.00,acc_5949_noah,merch_spotify_sub
8,PAYMENT,351.14,1514.57,1163.43,0.00,acc_6881_leo,merch_walmart_store
27,CASH_OUT,58671.86,85323.42,26651.56,104202.71,acc_5497_alec,atm_terminal_16
24,PAYMENT,305.50,4004.36,3698.86,0.00,acc_5689_max,merch_starbucks
8,CASH_OUT,87286.38,113581.02,26294.64,129203.24,acc_5106_olivia,atm_terminal_97
21,TRANSFER,5950.92,65014.04,59063.12,14949.62,acc_1645_jake,acc_5835_sara
6,PAYMENT,267.77,4858.87,4591.10,0.00,acc_9837_owen,merch_uber_eats
27,TRANSFER,563.49,6255.26,5691.77,13526.47,acc_8894_zara,acc_4696_grace
22,DEBIT,30.86,4785.96,4755.10,0.00,acc_6992_devon,acc_utility_water
15,PAYMENT,321.08,1936.08,1615.00,0.00,acc_5295_leo,merch_starbucks
4,CASH_OUT,88037.87,93312.48,5274.61,133800.67,acc_8724_alec,atm_terminal_51
8,CASH_OUT,68644.50,105460.50,36816.00,75633.35,acc_8606_lily,atm_terminal_24
2,PAYMENT,444.19,531.10,86.91,0.00,acc_9071_maya,merch_amazon
13,PAYMENT,364.67,2957.33,2592.66,0.00,acc_9850_raj,merch_target
21,TRANSFER,1916.00,8458.26,6542.26,17109.00,acc_9017_ivy,acc_8285_zoe
4,DEBIT,522.96,5429.84,4906.88,0.00,acc_7018_mia,acc_utility_water
13,PAYMENT,50.38,4129.75,4079.37,0.00,acc_3001_grace,merch_netflix
21,CASH_OUT,29175.95,118232.39,89056.44,68524.85,acc_1349_claire,atm_terminal_26
7,TRANSFER,348099.26,441362.94,93263.68,17168.12,acc_4394_leo,acc_1046_emma
5,DEBIT,105.74,4831.38,4725.64,0.00,acc_9850_emma,acc_utility_water
5,TRANSFER,6813.54,6813.54,0.00,358.45,acc_4898_leo,acc_4423_ghost
24,TRANSFER,299843.76,317149.71,17305.95,15664.54,acc_8344_max,acc_1710_ruby
28,CASH_OUT,3501.61,96857.76,93356.15,45866.54,acc_5941_priya,atm_terminal_71
14,CASH_OUT,10498.08,136545.42,126047.34,26603.67,acc_9032_ethan,atm_terminal_20
5,TRANSFER,177322.51,296760.40,119437.89,10111.02,acc_5505_ivy,acc_5831_priya
14,TRANSFER,11793.41,13266.90,1473.49,16548.38,acc_2874_grace,acc_7779_sara
13,PAYMENT,334.23,2162.48,1828.25,0.00,acc_2557_sara,merch_starbucks
5,CASH_OUT,1703.00,14592.49,12889.49,6531.22,acc_8770_devon,atm_terminal_65
24,PAYMENT,332.08,346.91,14.83,0.00,acc_3131_mia,merch_bestbuy
11,CASH_OUT,123475.09,131167.50,7692.41,166879.70,acc_7730_tom,atm_terminal_64
24,TRANSFER,6592.75,6592.75,0.00,147.84,acc_5712_ivy,acc_4425_ghost
4,PAYMENT,289.18,3824.90,3535.72,0.00,acc_7022_maya,merch_target
28,CASH_OUT,115739.94,139433.56,23693.62,117187.60,acc_1430_ivy,atm_terminal_44
9,CASH_OUT,812.21,51633.87,50821.66,29128.26,acc_6062_lily,atm_terminal_28
13,TRANSFER,23193.48,146809.80,123616.32,6487.66,acc_1502_devon,acc_6105_ruby
19,CASH_OUT,15299.74,24454.07,9154.33,19378.82,acc_1861_victor,atm_terminal_96
15,CASH_OUT,18628.60,66864.58,48235.98,24319.48,acc_8957_ivy,atm_terminal_75
14,TRANSFER,3953.24,70437.81,66484.57,18906.48,acc_8972_alex,acc_4349_jake
25,TRANSFER,53478.46,53478.46,0.00,2848.17,acc_5186_jake,acc_4422_ghost
8,PAYMENT,372.31,2015.50,1643.19,0.00,acc_6802_devon,merch_target
1,PAYMENT,217.50,1599.65,1382.15,0.00,acc_2275_grace,merch_target
23,CASH_OUT,59293.07,61349.81,2056.74,99359.18,acc_5743_maya,atm_terminal_31
20,PAYMENT,57.40,2211.72,2154.32,0.00,acc_6928_devon,merch_target
19,PAYMENT,374.17,4359.10,3984.93,0.00,acc_2288_nina,merch_netflix
11,CASH_IN,2699.96,6368.92,9068.88,6368.92,acc_2251_alex,acc_0012_bank
29,CASH_IN,3262.67,9586.41,12849.08,9586.41,acc_6752_ruby,acc_0012_bank
8,TRANSFER,3883.23,3883.23,0.00,191.88,acc_5193_noah,acc_1120_wire
25,CASH_OUT,78512.19,138698.98,60186.79,127838.79,acc_8354_olivia,atm_terminal_91
11,CASH_IN,2397.71,4453.65,6851.36,4453.65,acc_6179_victor,acc_0078_bank
10,CASH_IN,1621.00,5122.64,6743.64,5122.64,acc_1920_tom,acc_0045_bank
2,TRANSFER,6677.18,13071.00,6393.82,11086.33,acc_5703_devon,acc_8581_leo
26,CASH_OUT,78215.83,136448.44,58232.61,94292.17,acc_1672_priya,atm_terminal_34
16,PAYMENT,450.07,562.33,112.26,0.00,acc_2013_priya,merch_starbucks
23,TRANSFER,150655.60,246991.22,96335.62,18358.74,acc_3827_claire,acc_6962_tom
13,PAYMENT,395.67,3009.54,2613.87,0.00,acc_6543_olivia,merch_starbucks
3,PAYMENT,426.53,1297.38,870.85,0.00,acc_7333_jake,merch_grocery_mart
28,TRANSFER,323102.21,462535.90,139433.69,11900.82,acc_2335_leo,acc_7421_victor
3,PAYMENT,407.53,3968.73,3561.20,0.00,acc_7171_sam,merch_bestbuy
3,CASH_OUT,20229.81,54912.39,34682.58,67788.28,acc_7937_alex,atm_terminal_33
11,DEBIT,127.30,1513.95,1386.65,0.00,acc_8967_noah,acc_utility_water
10,CASH_IN,4192.09,7731.66,11923.75,7731.66,acc_2657_alex,acc_0078_bank
2,CASH_OUT,9688.26,57131.26,47443.00,48243.15,acc_3147_ivy,atm_terminal_98
26,DEBIT,547.56,2582.98,2035.42,0.00,acc_8170_claire,acc_utility_electric
15,CASH_OUT,25278.37,80567.66,55289.29,70477.09,acc_8355_zoe,atm_terminal_70
7,PAYMENT,390.17,3858.72,3468.55,0.00,acc_8218_priya,merch_bestbuy
17,PAYMENT,304.31,1038.50,734.19,0.00,acc_3655_finn,merch_uber_eats
2,CASH_OUT,99889.65,140209.74,40320.09,142447.95,acc_7081_mia,atm_terminal_76
10,TRANSFER,281008.73,281008.73,0.00,22950.07,acc_3626_emma,acc_4417_ghost
29,PAYMENT,159.93,313.62,153.69,0.00,acc_1436_raj,merch_netflix
13,DEBIT,339.73,363.49,23.76,0.00,acc_7142_zoe,acc_utility_gas
26,TRANSFER,8679.66,18389.23,9709.57,1584.52,acc_1627_jake,acc_1086_owen
